,Unnamed: 0.2,lat,lon,device_id,station_status,tou_status,url_price,port_count,port_id
0,0,59.034786224365234,-2.905301094055176,1000335565,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000335565,2,1000335565_1
1,1,59.034786224365234,-2.905301094055176,1000335565,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000335565,2,1000335565_2
2,2,58.98225402832031,-2.9737389087677,1000339545,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339545,2,1000339545_1
3,3,58.98225402832031,-2.9737389087677,1000339545,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339545,2,1000339545_2
4,4,58.98101425170898,-2.965392112731934,1000339745,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339745,3,1000339745_1
5,5,58.98101425170898,-2.965392112731934,1000339745,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339745,3,1000339745_2
6,6,58.98101425170898,-2.965392112731934,1000339745,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339745,3,1000339745_3
7,7,58.97570037841797,-2.969599962234497,1000335855,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000335855,2,1000335855_1
8,8,58.97570037841797,-2.969599962234497,1000335855,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000335855,2,1000335855_2
9,9,58.97570037841797,-2.969599962234497,1000337145,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000337145,2,1000337145_1
10,10,58.97570037841797,-2.969599962234497,1000337145,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000337145,2,1000337145_2
11,11,58.98158645629883,-2.964169025421143,1000335475,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000335475,2,1000335475_1
12,12,58.98158645629883,-2.964169025421143,1000335475,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000335475,2,1000335475_2
13,13,58.98074722290039,-2.955394983291626,1000340265,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340265,2,1000340265_1
14,14,58.98074722290039,-2.955394983291626,1000340265,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340265,2,1000340265_2
15,15,58.98057556152344,-2.956373929977417,1000344425,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000344425,2,1000344425_1
16,16,58.98057556152344,-2.956373929977417,1000344425,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000344425,2,1000344425_2
17,17,58.96498489379883,-3.296092987060547,1000340005,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340005,2,1000340005_1
18,18,58.96498489379883,-3.296092987060547,1000340005,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340005,2,1000340005_2
19,19,58.96381759643555,-3.301284074783325,1000340635,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340635,2,1000340635_1
20,20,58.96381759643555,-3.301284074783325,1000340635,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340635,2,1000340635_2
21,21,58.963600158691406,-3.301399946212769,1000334325,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334325,1,1000334325_1
22,22,58.963600158691406,-3.301399946212769,1000338145,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000338145,1,1000338145_1
23,23,58.96686553955078,-2.952436923980713,1000340325,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340325,2,1000340325_1
24,24,58.96686553955078,-2.952436923980713,1000340325,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340325,2,1000340325_2
25,25,58.91743087768555,-3.183187007904053,1000339815,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339815,2,1000339815_1
26,26,58.91743087768555,-3.183187007904053,1000339815,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339815,2,1000339815_2
27,27,58.824798583984375,-2.956099987030029,1000337155,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000337155,1,1000337155_1
28,28,58.824798583984375,-2.956099987030029,1000337525,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000337525,1,1000337525_1
29,29,58.64332580566406,-3.068794965744019,1011847585,available,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1011847585,1,1011847585_1
30,30,58.64332580566406,-3.068804979324341,1011847595,available,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1011847595,1,1011847595_1
31,31,58.64332580566406,-3.068814992904663,1011847605,available,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1011847605,1,1011847605_1
32,32,58.643314361572266,-3.068804979324341,1011847575,available,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1011847575,1,1011847575_1
33,33,58.643314361572266,-3.068814992904663,1011847615,available,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1011847615,1,1011847615_1
34,34,58.64330291748047,-3.068814992904663,1011847625,available,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1011847625,1,1011847625_1
35,35,58.64366912841797,-3.070727109909058,1000357905,unknown,close,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000357905,2,1000357905_1
36,36,58.64366912841797,-3.070727109909058,1000357905,unknown,close,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000357905,2,1000357905_2
37,37,58.63926315307617,-3.161231994628906,1000334565,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334565,3,1000334565_1
38,38,58.63926315307617,-3.161231994628906,1000334565,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334565,3,1000334565_2
39,39,58.63926315307617,-3.161231994628906,1000334565,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334565,3,1000334565_3
40,40,58.612083435058594,-3.539624929428101,1000334635,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334635,3,1000334635_1
41,41,58.612083435058594,-3.539624929428101,1000334635,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334635,3,1000334635_2
42,42,58.612083435058594,-3.539624929428101,1000334635,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334635,3,1000334635_3
43,43,58.5680046081543,-4.747553825378418,1000339495,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339495,3,1000339495_1
44,44,58.5680046081543,-4.747553825378418,1000339495,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339495,3,1000339495_2
45,45,58.5680046081543,-4.747553825378418,1000339495,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339495,3,1000339495_3
46,46,58.55409240722656,-3.91925311088562,1000339555,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339555,3,1000339555_1
47,47,58.55409240722656,-3.91925311088562,1000339555,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339555,3,1000339555_2
48,48,58.55409240722656,-3.91925311088562,1000339555,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339555,3,1000339555_3
49,49,58.4948844909668,-6.254146099090576,1000336555,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000336555,2,1000336555_1
50,50,58.4948844909668,-6.254146099090576,1000336555,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000336555,2,1000336555_2
51,51,58.48488998413086,-6.255978107452393,1000341685,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000341685,2,1000341685_1
52,52,58.48488998413086,-6.255978107452393,1000341685,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000341685,2,1000341685_2
53,53,58.47690582275391,-4.417801856994629,1000340335,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340335,3,1000340335_1
54,54,58.47690582275391,-4.417801856994629,1000340335,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340335,3,1000340335_2
55,55,58.47690582275391,-4.417801856994629,1000340335,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340335,3,1000340335_3
56,56,58.4410514831543,-3.097186088562012,1000337275,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000337275,1,1000337275_1
57,57,58.4410514831543,-3.097184896469116,1000338965,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000338965,1,1000338965_1
58,58,58.44134140014648,-3.095737934112549,1000334865,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334865,2,1000334865_1
59,59,58.44134140014648,-3.095737934112549,1000334865,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334865,2,1000334865_2
60,60,58.44150924682617,-3.092933893203735,1000340475,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340475,3,1000340475_1
61,61,58.44150924682617,-3.092933893203735,1000340475,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340475,3,1000340475_2
62,62,58.44150924682617,-3.092933893203735,1000340475,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340475,3,1000340475_3
63,63,58.351863861083984,-5.150148868560791,1000340885,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340885,3,1000340885_1
64,64,58.351863861083984,-5.150148868560791,1000340885,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340885,3,1000340885_2
65,65,58.351863861083984,-5.150148868560791,1000340885,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000340885,3,1000340885_3
66,66,58.32715225219727,-6.682115077972412,1000334655,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334655,2,1000334655_1
67,67,58.32715225219727,-6.682115077972412,1000334655,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334655,2,1000334655_2
68,68,58.22108840942383,-6.384410858154297,1000336135,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000336135,2,1000336135_1
69,69,58.22108840942383,-6.384410858154297,1000336135,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000336135,2,1000336135_2
70,70,58.22108840942383,-6.384410858154297,1000337305,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000337305,2,1000337305_1
71,71,58.22108840942383,-6.384410858154297,1000337305,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000337305,2,1000337305_2
72,72,58.20913696289063,-6.378897190093994,1000341005,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000341005,3,1000341005_1
73,73,58.20913696289063,-6.378897190093994,1000341005,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000341005,3,1000341005_2
74,74,58.20913696289063,-6.378897190093994,1000341005,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000341005,3,1000341005_3
75,75,58.20655822753906,-6.380640983581543,1000336245,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000336245,2,1000336245_1
76,76,58.20655822753906,-6.380640983581543,1000336245,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000336245,2,1000336245_2
77,77,58.2130012512207,-6.396516799926758,1000334255,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000334255,1,1000334255_1
78,78,58.1998176574707,-7.013426780700684,1000338425,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000338425,2,1000338425_1
79,79,58.1998176574707,-7.013426780700684,1000338425,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000338425,2,1000338425_2
80,80,58.1460189819336,-5.245241165161133,1011698625,available,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1011698625,1,1011698625_1
81,81,58.11685943603516,-3.652821063995361,1000339765,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339765,3,1000339765_1
82,82,58.11685943603516,-3.652821063995361,1000339765,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339765,3,1000339765_2
83,83,58.11685943603516,-3.652821063995361,1000339765,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000339765,3,1000339765_3
84,84,58.08216094970703,2.099570035934448,1007643025,unknown,close,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1007643025,1,1007643025_1
85,85,57.966941833496094,-4.401105880737305,1000336365,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000336365,3,1000336365_1
86,86,57.966941833496094,-4.401105880737305,1000336365,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000336365,3,1000336365_2
87,87,57.966941833496094,-4.401105880737305,1000336365,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000336365,3,1000336365_3
88,88,57.90172576904297,-6.813834190368652,1000337625,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000337625,2,1000337625_1
89,89,57.90172576904297,-6.813834190368652,1000337625,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000337625,2,1000337625_2
90,90,57.897220611572266,-6.798832893371582,1000337455,unknown,open,https://mc.chargepoint.com/map-prod/v3/station/info?deviceId=1000337455,3,1000337455_1
